1986,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,
coll090,"ASC62390.tif
Name might be updated",,,Members of participating folk performance groups at the Taiwanese folk festival ,"
Heritage Singers Canada; Lyons, Grace",1998-10,A group photo with members of participating folk performance groups at the Taiwanese folk festival ,international tours; group photo,Taiwan,23.69781,120.960515,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(06)-2,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll091,File name to be updated ,,,Heritage Singers with children at the Taiwan folk festival,"
Heritage Singers Canada; Lyons, Grace",1998-10,Heritage Singers in Green shirts taking a group photo with children at the Taiwan folk festival,international tours; group photo; children,Taiwan,23.69781,120.960515,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(06)-3,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll092,"ASC62391.tif
Name might be updated",,,Heritage Singers in a crowd of other folk performers at the Taiwan folk festival,"
Heritage Singers Canada; Lyons, Grace",1998-24-10,Heritage Singers in a crowd of  other folk performers at the Taiwan folk festival,international tours; group photo,Taiwan,23.69781,120.960515,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(06)-4,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll093,"ASC62392.tif
Name might be updated",,,Heritage Singers in their hostel in Taiwan,"
Heritage Singers Canada; Lyons, Grace",1998-22-10,Behind the scenes photo of the Heritage Singers in their hostel in Taiwan,international tours; Behind the scenes,Taiwan,23.69781,120.960515,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(06)-5,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll094,File name to be updated ,,,Heritage Singers first tour in Saskatchewan,"
Heritage Singers Canada; Lyons, Grace",,Heritage Singers performing on stage during their first tour in Saskatchewan invited by the Saskatoon Jamaican Association,performance; group photo,"Saskatoon, Canada",52.93992,-106.45086,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections", 2023-033/003(08)-1,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll095,File name to be updated ,,,Heritage Singers enjoying some down time in Saskatchewan,"
Heritage Singers Canada; Lyons, Grace",,Behind the scenes group photo of the Heritage Singers enjoying some down time during their first tour in Saskatchewan,Behind the scenes; group photo; fun times,"Saskatoon, Canada",52.93992,-106.45086,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections", 2023-033/003(08)-2,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll096,File name to be updated ,,,Group photo of Heritage Singers at St. Paul's Anglican Church in Toronto,"
Heritage Singers Canada; Lyons, Grace",,Group photo of Heritage Singers at St. Paul's Anglican Church in Toronto,group photo,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections", 2023-033/003(08)-3,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll097,File name to be updated ,,,Grace and Zola accepting a certificate at the Zacatecas Mexican folk festival,"
Heritage Singers Canada; Lyons, Grace",2001-08,Grace Lyons and Zola Curling accepting a certificate at the Zacatecas Mexican folk festival,international tours: international relations,"Zacatecas , Mexico",22.774916,-102.586899,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(11)-1,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll098,File name to be updated ,,,"Heritage Singers holding up a sign which reads ""Jamaican Canadians"" at the Mexican folk festival","
Heritage Singers Canada; Lyons, Grace",2001-08,"Group photo of the Heritage Singers holding up a sign which reads ""Jamaican Canadians"" at the Mexican folk festival",international tours; group photo,"Zacatecas , Mexico",22.774916,-102.586899,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/003(11)-2,Image;StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,IMG_4805.JPG,,,VHS Tape,"
Heritage Singers Canada; Lyons, Grace",1998-22-02,"A white VHS case containing a 1998 recording of the Heritage Singers performance at St. Paul's Church during the service. The recording is titled 'Celebrating The Black Heritage of Our Church: The Strength, Faith & Commitment Of The BLACK WOMAN'.",Media,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/008(05)-2,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
,IMG_4806.JPG,,,Collection of VHS tapes,"
Heritage Singers Canada; Lyons, Grace",1997-2004,A box containing a collection of VHS tapes featuring recorded performances of the Heritage Singer's spanning from 1997 to 2004.,Media,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/008,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
,IMG_4808.JPG,,,Collection of VHS tapes,"
Heritage Singers Canada; Lyons, Grace",1987-1992,A box containing a collection of VHS tapes featuring recorded performances of the Heritage Singer's spanning from 1987 to 1992.,Media,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/006,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
