1986,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,,,
coll021,File name to be updated ,https://youtu.be/4eowDllQtwk,,"""The Sooner The Better"" For Early Detection of Cervical Cancer",Dr. Daphne DaCosta Memorial Foundation ,1992,An informational video hosted by Miss Lou with local non-actors and Black doctors in Toronto promoting Black women's health regarding cervical cancer and the importance of gynecological care.,Video,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/006(08),Image;MovingImage,video/mp4,English,Not sure about reproduction rights,,,,
coll022,File name to be updated ,To be updated,,ZuZuwah 3 1998 December 12,"
Heritage Singers Canada; Lyons, Grace; Ebanks, Debbie",1998-12-12,A recording of the Heritage Singer's 1998 performance of ZuZuwah 3.,Video,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/008(07),Image;MovingImage,video/mp4,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll023,"ASC62371_crop.tif
Name might be updated ",,,Letter from Bob Rae,"
Heritage Singers Canada; Lyons, Grace",1988-28-10,A thank you letter from Leader of the Opposition Bob Rae ,Letter; government relations,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(01)-1,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll024,"IMG_4729.JPG
Name might be updated",,,Letter from Jean Augustine,"
Heritage Singers Canada; Lyons, Grace",2001-08,A letter from Jean Augustine sending Best Wishes to the Heritage Singers,Letter; government relations,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(01)-2,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll025,"IMG_4836.JPG
Name might be updated",,,Certificate of recognition,"
Heritage Singers Canada; Lyons, Grace",2001-08,A certificate of recognition awarded to the Heritage Singers by the Mexican folk festival,Awards; International tours,"Zacatecas , Mexico",22.774916,-102.586899,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(01)-9,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll026,"IMG_4736.JPG
Name might be updated",,,Certificate of appreciation,"
Heritage Singers Canada; Lyons, Grace",1998-03-04,Certificate of appreciation from Jean Augustine,Letter; government relations,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(01)-11,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll027,"ASC62375.tif
Name might be updated",,,Letter from Grace,"
Heritage Singers Canada; Lyons, Grace",1993-22-08,A letter from Grace to the Ministry of Culture and Tourism ,Letter; government relations,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(02)-5,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll028,"IMG_4825.JPG
Name might be updated",,,"Heritage Singers on the cover of PRIDE magazine, May 2, 2012",PRIDE,2012-02-05,Pride Newspaper featuring Heritage Singers promoting Hallelujah Pepperpot,Newspaper,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/002(08)-1,Image;StillImage,image/jpeg,English,Not sure about reproduction rights,,,,
coll029,File name to be updated ,,,Certificate of appreciation,"
Heritage Singers Canada; Lyons, Grace",2000-15-12,A certificate of appreciation to the Heritage Singers from the All Nations Gospel Church for a donation to the church,Awards,"Toronto, Canada",43.65107,-79.347015,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(01)-5,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
coll030,"ASC62372.tif
Name might be updated",,,Letter from Edward Koch,"
Heritage Singers Canada; Lyons, Grace",1987-16-10,Letter of thank you from New York City mayor Edward Koch,Letter; international relations,"New York City, United States ",40.71427,-74.00597,"F0783, Heritage Singers Canada Fonds, York University Clara Thomas Archives and Special Collections",2023-033/001(01)-6,Image;StillImage,image/jpeg,English,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the York University Clara Thomas and Special Archives. For other uses beyond free use, please contact York University Clara Thomas Archives and Special Collections.",,,,
